,47019,nn_m,nn_std
2003-06-24,0.935,0.9395369873924241,0.0532786605712957
2003-06-25,0.8320000000000001,0.8653808988128702,0.04081990894879268
2003-06-26,0.882,0.9731458610390143,0.04830625390408509
2003-06-27,0.9490000000000001,0.9619016090613898,0.0550047079227683
2003-06-28,0.868,0.8927591920433402,0.05372175045868725
2003-06-29,0.893,0.9429146488285937,0.04538050688918326
2003-06-30,1.09,1.1314517616641253,0.06523161016861945
2003-07-01,1.09,1.1377416707787404,0.07634997578089331
2003-07-02,1.6,1.4323850384783758,0.08817417502237382
2003-07-03,1.03,0.9985531316248174,0.09511418397518841
2003-07-04,0.813,0.8021367066514539,0.06278776462542733
2003-07-05,0.764,0.7519657332925213,0.06286097108535456
2003-07-06,0.715,0.7213437415292713,0.05960500720732347
2003-07-07,0.696,0.6806044232403586,0.05944881535325898
2003-07-08,0.703,0.7165503866993401,0.05958537061601679
2003-07-09,0.7020000000000001,0.700063050232744,0.06067930890373871
2003-07-10,0.655,0.632537001079925,0.056275567481790044
2003-07-11,0.624,0.5934636225564521,0.05684696719697282
2003-07-12,0.589,0.55584357965209,0.058875281100852134
2003-07-13,0.5710000000000001,0.5514765947485855,0.06441495245775102
2003-07-14,0.551,0.5255801225692434,0.06724016840257073
2003-07-15,0.5529999999999999,0.5246471066221036,0.06374720551903269
2003-07-16,0.6920000000000001,0.753686889303388,0.06806565586603587
2003-07-17,0.731,0.746506300049166,0.08261241172236436
2003-07-18,0.665,0.665966503184733,0.0631505390944201
2003-07-19,0.611,0.5882822533264408,0.07521897096460455
2003-07-20,0.696,0.6214455863545265,0.05713251596915384
2003-07-21,0.8540000000000001,1.0115571627978308,0.09835564620848666
2003-07-22,0.7959999999999999,0.7623990357386436,0.07195083238951314
2003-07-23,0.701,0.60320819089633,0.07128380849549315
2003-07-24,0.851,0.8813344230736402,0.10376361910066939
2003-07-25,8.17,9.60497017964997,0.3657097434278636
2003-07-26,2.65,3.4087631162174152,0.8019775081035247
2003-07-27,1.8,1.650020203638514,0.4789014822153233
2003-07-28,1.27,1.7554304429138994,0.6760028959931547
2003-07-29,1.5,1.7281132742196816,0.15385061246562406
2003-07-30,2.07,2.281766587188812,0.14182882654441448
2003-07-31,1.66,2.034634311623418,0.29698025549401624
2003-08-01,2.91,4.028798708736532,0.39355435080222695
2003-08-02,1.77,1.9599728473888065,0.25377319618244026
2003-08-03,1.35,1.319660945954874,0.10429872907763639
2003-08-04,1.18,1.32050000529828,0.16074901459000882
2003-08-05,1.06,1.068066232040396,0.12024929410987673
2003-08-06,1.01,1.0729649017637553,0.1028826462291216
2003-08-07,1.01,1.0757862690291495,0.08738748468449956
2003-08-08,0.943,0.9733955604176452,0.08102894433414054
2003-08-09,0.858,0.8666282170460513,0.07346952788028864
2003-08-10,0.826,0.8453260419889082,0.06795491651671422
2003-08-11,0.8109999999999999,0.8567357951691719,0.07064566155184251
2003-08-12,0.7709999999999999,0.8741522151372164,0.06745690273751292
2003-08-13,0.74,0.8123078134587361,0.060505864363115516
2003-08-14,0.7090000000000001,0.714679604154504,0.057594542077480944
2003-08-15,0.669,0.6862088191967469,0.05870764077394478
2003-08-16,0.644,0.7066688635916153,0.05808986691821966
2003-08-17,0.63,0.7064922813595422,0.05935137142057376
2003-08-18,0.625,0.7146873589232219,0.05913978695648062
2003-08-19,0.614,0.6744534944253404,0.05992040727915957
2003-08-20,0.593,0.6513876658608212,0.05924176675337077
2003-08-21,0.585,0.6565331519559984,0.05782824402754899
2003-08-22,0.594,0.6727526865202194,0.05795760358665638
2003-08-23,0.6,0.6705765050560829,0.058960637421021554
2003-08-24,0.627,0.6773694313432853,0.05707710718117821
2003-08-25,0.64,0.6532749808556819,0.059175832837976915
2003-08-26,0.6509999999999999,0.7291373298340318,0.06107067505535636
2003-08-27,0.679,0.7017422153380981,0.05857937256844857
2003-08-28,0.625,0.6311276312963784,0.04798494619262556
2003-08-29,1.72,1.9793435280206393,0.0818360424122239
2003-08-30,1.78,1.8155364536702931,0.09936484271582605
2003-08-31,1.0,0.9088386371917496,0.08458879965177274
2003-09-01,0.774,0.7199388464722355,0.05126772708631944
2003-09-02,0.691,0.6633907424099078,0.04876287457236159
2003-09-03,0.653,0.6380035185773206,0.048401106216506354
2003-09-04,0.634,0.6088056211158326,0.05352304329645456
2003-09-05,0.616,0.6323309996059862,0.05442238860044934
2003-09-06,0.64,0.6780336935572017,0.05267517117707091
2003-09-07,0.6629999999999999,0.6653792648543521,0.050222793795605784
2003-09-08,0.665,0.6903702543476997,0.053839833927863914
2003-09-09,0.6729999999999999,0.6904727509410528,0.05812780069950986
2003-09-10,0.746,0.7434006676791338,0.05547882693505949
2003-09-11,0.7809999999999999,0.7188194107411139,0.06962235357750085
2003-09-12,0.6829999999999999,0.6260203293207108,0.056711180636449206
2003-09-13,0.623,0.5711073759634689,0.0535811820952081
2003-09-14,0.579,0.5351252986992262,0.046221522262707156
2003-09-15,0.54,0.5067609530791051,0.0490347497704428
2003-09-16,0.529,0.47306784794123385,0.05456392415372481
2003-09-17,0.515,0.5068349386616885,0.05451138125291278
2003-09-18,0.501,0.5100459268576449,0.060279013121452604
2003-09-19,0.503,0.4962409324993254,0.059946493418988514
2003-09-20,0.488,0.4688902870538313,0.06091052326529782
2003-09-21,0.467,0.4582314727284003,0.06000122031144811
2003-09-22,0.7659999999999999,0.698131858684333,0.07500702576470326
2003-09-23,0.701,0.7073338484018953,0.08072146879682146
