,33013,orig,nn_m,nn_std
1954-05-28,0.5660000000000001,0.5660000000000001,0.556704986859319,0.019090665942798568
1954-05-29,0.5660000000000001,0.5660000000000001,0.5868441188940946,0.019376600710894167
1954-05-30,0.68,0.68,0.6385547090970036,0.020617278215360742
1954-05-31,0.68,0.68,0.6739005195009165,0.022219330974310957
1954-06-01,0.68,0.68,0.6443522427141173,0.02144182064272107
1954-06-02,0.68,0.68,0.6680148372472592,0.031035360206224747
1954-06-03,0.68,0.68,0.6278349203921443,0.029167804701159282
1954-06-04,0.623,0.623,0.6541711629115842,0.021115822777608276
1954-06-05,0.623,0.623,0.6107055009641758,0.02089568615220243
1954-06-06,0.736,0.736,0.6631651042123863,0.01730834073427062
1954-06-07,0.736,0.736,0.7474356301917691,0.017241013063781865
1954-06-08,0.736,0.736,0.7546392536267248,0.032178173796002116
1954-06-09,0.68,0.68,0.7947923044739226,0.02947103273870733
1954-06-10,0.68,0.68,0.7840174037466778,0.07821756878576722
1954-06-11,0.623,0.623,0.6835378076517372,0.06517406631192588
1954-06-12,0.623,0.623,0.577251550787062,0.08205364695184332
1954-06-13,0.623,0.623,0.611680869883872,0.05567605945251915
1954-06-14,0.623,0.623,0.6393508205629588,0.05135564975718319
1954-06-15,0.68,0.68,0.6517010147837402,0.041241063890094624
1954-06-16,0.7929999999999999,0.7929999999999999,0.7470706783322054,0.02727255528928078
1954-06-17,0.736,0.736,0.68507564407661,0.024108094898290605
1954-06-18,0.68,0.68,0.7043791753627678,0.02815291765810174
1954-06-19,0.68,0.68,0.6454757894043057,0.025663932797370767
1954-06-20,0.5660000000000001,0.5660000000000001,0.6611457115924138,0.020116805996486294
1954-06-21,0.5660000000000001,0.5660000000000001,0.5536836749717984,0.016189591445555977
1954-06-22,0.51,0.51,0.569217424937129,0.014026968322427762
1954-06-23,0.51,0.51,0.48105218525197685,0.013157139319691686
1954-06-24,0.51,0.51,0.5160649610141677,0.010278389962358032
1954-06-25,0.48100000000000004,0.48100000000000004,0.4652611125702636,0.008213693084287195
1954-06-26,0.48100000000000004,0.48100000000000004,0.4744490220673603,0.006233603693927672
1954-06-27,0.5660000000000001,0.5660000000000001,0.41031263224510195,0.008455081383725792
1954-06-28,0.5660000000000001,0.5660000000000001,0.52798181909186,0.0075032314508350195
1954-06-29,0.48100000000000004,0.48100000000000004,0.539655262661251,0.011199684165824524
1954-06-30,0.48100000000000004,0.48100000000000004,0.4500221573380009,0.010078768247166848
1954-07-01,0.396,0.396,0.4666425843322455,0.008217424069316833
1954-07-02,0.368,0.368,0.4064531332108003,0.012938826844372083
1954-07-03,0.368,0.368,0.3854401063441397,0.00572476769211144
1954-07-04,0.5660000000000001,0.5660000000000001,0.377626234882993,0.008431998197896572
1954-07-05,0.5660000000000001,0.5660000000000001,0.5551172218975226,0.014818686846765136
1954-07-06,0.5660000000000001,0.5660000000000001,0.5823762205636832,0.025231124833111122
1954-07-07,0.623,0.623,0.5974858468624884,0.026422714368015257
1954-07-08,0.5379999999999999,0.5379999999999999,0.5522700222007761,0.03195044966989938
1954-07-09,0.51,0.51,0.48957335898454596,0.029912739833794305
1954-07-10,0.51,0.51,0.48423097721061226,0.030963234527528763
1954-07-11,0.623,0.623,0.5526346607023646,0.024670367651584073
1954-07-12,0.623,0.623,0.6088891487871053,0.017649124066013475
1954-07-13,0.5660000000000001,0.5660000000000001,0.6407172694947947,0.01654841129276306
1954-07-14,0.5379999999999999,0.5379999999999999,0.5222097680706878,0.015342375480257702
1954-07-15,0.51,0.51,0.5204953335792211,0.014767667994179695
1954-07-16,0.5379999999999999,0.5379999999999999,0.4672193684899004,0.017505751895775735
1954-07-17,0.5379999999999999,0.5379999999999999,0.5502096425339267,0.01359837678146785
1954-07-18,0.5660000000000001,0.5660000000000001,0.6699526158965439,0.021134244073619482
1954-07-19,0.5660000000000001,0.5660000000000001,0.622414470630202,0.020212679649884546
1954-07-20,0.5660000000000001,0.5660000000000001,0.5748612358357217,0.01942054163399264
1954-07-21,0.623,0.623,0.5300774277563367,0.015653068991582506
1954-07-22,0.51,0.51,0.5733033085702822,0.013820973109103308
1954-07-23,0.5379999999999999,0.5379999999999999,0.4960216164686064,0.012908187153846347
1954-07-24,0.5379999999999999,0.5379999999999999,0.5317647550228211,0.013033461384281929
1954-07-25,0.5660000000000001,0.5660000000000001,0.5297440634788105,0.01201728644642042
1954-07-26,0.5660000000000001,0.5660000000000001,0.5820516188242488,0.014979691901452756
1954-07-27,0.623,0.623,0.541344006808856,0.01467590435179463
1954-07-28,0.68,0.68,0.7231131979085563,0.025998472990879505
1954-07-29,0.623,0.623,0.650093840488642,0.024065421395360016
1954-07-30,0.5379999999999999,0.5379999999999999,0.5941887018465284,0.02090974950358305
1954-07-31,0.5379999999999999,0.5379999999999999,0.5199016995991586,0.022008995175787333
1954-08-01,0.552,0.552,0.5756987043519126,0.017167359866366985
1954-08-02,0.5660000000000001,0.5660000000000001,0.5726184665463738,0.0174250150920864
1954-08-03,0.5660000000000001,0.5660000000000001,0.5359040990844487,0.016832620345772875
1954-08-04,0.623,0.623,0.5236163534433279,0.01798376509300119
1954-08-05,0.524,0.524,0.5568687093227546,0.02327545901619046
1954-08-06,0.524,0.524,0.5069115920583857,0.01394301362755499
1954-08-07,0.524,0.524,0.5300002081129354,0.015478080027719228
1954-08-08,0.736,0.736,0.6458282440667471,0.019164653609021743
1954-08-09,0.736,0.736,0.7470630065067886,0.018426715343289293
1954-08-10,0.736,0.736,0.7145724817044092,0.01857705387205569
1954-08-11,0.85,0.85,0.7078481764719631,0.015615043833750078
1954-08-12,0.736,0.736,0.792161438457998,0.02779815005123311
1954-08-13,0.68,0.68,0.6644434625008927,0.02534739258897009
1954-08-14,0.68,0.68,0.6733325448919797,0.01786720307345306
1954-08-15,0.85,0.85,0.7040176318694735,0.026297849266989123
1954-08-16,0.85,0.85,0.7802805310005665,0.022094671807277012
1954-08-17,0.85,0.85,0.8407529732436002,0.02217511247656181
1954-08-18,0.736,0.736,0.8354671936747485,0.02413930967759375
1954-08-19,0.736,0.736,0.726967812360341,0.02657719631376763
1954-08-20,0.736,0.736,0.7946089215223998,0.018608595393163552
1954-08-21,0.736,0.736,0.9232297547463296,0.030605840922557654
1954-08-22,0.623,0.623,0.7843102399544788,0.03201433805848147
1954-08-23,0.623,0.623,0.6059358083162831,0.026576586675396488
1954-08-24,0.623,0.623,0.6296642914140088,0.02033329727616576
1954-08-25,0.68,0.68,0.9372998873803596,0.05812527570874085
1954-08-26,0.736,0.736,0.8428839290120884,0.0336005963572531
1954-08-27,0.736,0.736,0.7356295268157345,0.026413452740307295
1954-08-28,0.736,0.736,0.6609095934208806,0.02253798905349452
1954-08-29,0.963,0.963,0.5951665537256494,0.05077119975385994
1954-08-30,0.963,0.963,0.8250972474705095,0.046813868013809115
1954-08-31,0.963,0.963,0.8260210738208925,0.052266421644166124
1954-09-01,0.9059999999999999,0.9059999999999999,0.8005174168424026,0.03261688029100616
1954-09-02,0.85,0.85,0.8168869928346985,0.022671976594856317
1954-09-03,0.736,0.736,0.7746917611828955,0.018288566178523907
1954-09-04,0.736,0.736,0.7027276359126805,0.021893329190697388
1954-09-05,0.51,0.51,0.8631991080827885,0.02240450337339865
1954-09-06,0.51,0.51,0.5475772793756839,0.0245617046825126
1954-09-07,0.51,0.51,0.5923636462447076,0.02703685641846856
1954-09-08,0.48100000000000004,0.48100000000000004,0.5119327044774086,0.014544847484586796
1954-09-09,0.48100000000000004,0.48100000000000004,0.49136225490990904,0.020177646575928136
1954-09-10,0.48100000000000004,0.48100000000000004,0.4600162903865357,0.018752118942133605
1954-09-11,0.48100000000000004,0.48100000000000004,0.4506397955137673,0.017701633172920624
1954-09-12,0.48100000000000004,0.48100000000000004,0.4900479846429074,0.014260522615330071
1954-09-13,0.48100000000000004,0.48100000000000004,0.4754948751185591,0.014696936201816453
1954-09-14,0.425,0.425,0.4779491969508152,0.011764491571916178
1954-09-15,0.425,0.425,0.43060957818601203,0.009525119417819439
1954-09-16,0.425,0.425,0.40237670531060615,0.008112649500712098
1954-09-17,0.425,0.425,0.4305059670193271,0.007693784932754575
1954-09-18,0.425,0.425,0.4209592340499666,0.008590231493755936
1954-09-19,0.736,0.736,0.6290984150676067,0.020943156604257596
1954-09-20,0.736,0.736,0.7374148354639322,0.023635505192010464
1954-09-21,0.736,0.736,0.6887101512238244,0.020745505414768543
1954-09-22,0.736,0.736,0.7151490521427092,0.021605974941354952
1954-09-23,0.68,0.68,0.6536763987580313,0.028972169383390856
1954-09-24,0.623,0.623,0.6561835820004133,0.012438179700168401
1954-09-25,0.623,0.623,0.7482939675525804,0.02798568425934993
1954-09-26,0.623,0.623,0.582744369284054,0.030929122382853003
1954-09-27,0.623,0.623,0.6040838764726885,0.021451940562469216
1954-09-28,0.623,0.623,0.56320561311908,0.02796268719541063
1954-09-29,0.5660000000000001,0.5660000000000001,0.6068295804588447,0.022077533229571827
1954-09-30,0.5660000000000001,0.5660000000000001,0.5172387160044289,0.019413519312926647
1954-10-01,0.5660000000000001,0.5660000000000001,0.5621270282045021,0.017408142940187037
1954-10-02,0.5660000000000001,0.5660000000000001,0.5645777993590971,0.013027108708785833
1954-10-03,0.5660000000000001,0.5660000000000001,0.5710432736182469,0.014302715002063225
1954-10-04,0.5660000000000001,0.5660000000000001,0.5713759692494662,0.014873198211070164
