date,54057,nn_m,nn_std
2000-05-10,64.6,62.170237519811025,0.3147744628358928
2000-05-11,61.0,62.110802939910755,0.33857284532514587
2000-05-12,58.7,59.494176048222364,0.2957141112617112
2000-05-13,54.6,55.21116728981407,0.34574953719205864
2000-05-14,51.6,52.57040570390254,0.38515919737680676
2000-05-15,50.1,50.094865943054124,0.36594551592296864
2000-05-16,53.2,48.98905059230095,0.3653003041524888
2000-05-17,57.7,56.851812481777,0.5196022038696624
2000-05-18,61.7,65.36355727120784,0.4418840029701198
2000-05-19,63.9,64.14717620796937,0.40136139600021287
2000-05-20,61.9,65.92234331134075,0.38690571287448877
2000-05-21,63.9,65.7197459438701,0.29914221166575367
2000-05-22,58.5,57.729820658154566,0.4504237486472107
2000-05-23,56.6,56.31183678842648,0.5429503499654516
2000-05-24,59.2,55.7893991605295,0.29523475860984805
2000-05-25,68.9,70.67343867154798,0.4326370700520721
2000-05-26,68.4,70.61157905049195,0.6440792848242312
2000-05-27,97.7,98.94980101890393,1.3353003764412206
2000-05-28,166.0,166.24509348136348,1.2664183008563703
2000-05-29,154.0,153.54383833285954,1.1645712273357103
2000-05-30,110.0,111.01951181232852,1.5187973651273625
2000-05-31,78.9,77.93747294504946,1.2077565985373964
2000-06-01,75.3,67.1070542176936,0.955411881688655
2000-06-02,80.3,86.75012793899289,0.9184699763982088
2000-06-03,99.7,101.55590426592762,0.803966597738568
2000-06-04,150.0,149.83909232736386,0.9428479482040535
2000-06-05,197.0,190.98790349965697,1.0184802001440232
2000-06-06,151.0,154.51817765982386,1.3690604206387276
2000-06-07,95.0,99.48947648487513,0.9775944783703083
2000-06-08,73.8,72.46615498612621,1.5412737799555223
2000-06-09,71.4,72.23220871525511,0.9626866988157584
2000-06-10,68.1,68.77055002213956,0.29981779148466453
2000-06-11,60.8,62.005754429712724,0.3232509095079812
2000-06-12,52.6,52.968282177519995,0.40043760709359594
2000-06-13,48.6,49.19471447874828,0.2871231082498432
2000-06-14,46.8,47.441928603294386,0.23563847869144144
2000-06-15,55.2,56.921259256467906,0.2829301713290213
2000-06-16,77.6,76.3103922848533,0.3354691391819219
2000-06-17,56.5,59.914113178882715,0.3715430253209616
2000-06-18,45.0,43.53980838538223,0.6914022114833825
2000-06-19,40.4,41.55715757834192,0.33876928117504135
2000-06-20,38.8,39.12889335804274,0.23325913093669765
2000-06-21,37.5,38.018478087950946,0.11638813021912475
2000-06-22,37.9,38.12404422020156,0.12066025017282755
2000-06-23,40.5,41.554068191384765,0.1471364300955523
2000-06-24,48.4,48.68658978408616,0.1690454309215366
2000-06-25,41.6,43.316806809196045,0.31046173968135826
2000-06-26,36.9,36.43086746862579,0.4472735036883638
2000-06-27,34.1,34.03588117649143,0.17515848728278421
2000-06-28,32.1,32.340275622625185,0.13508516423066286
2000-06-29,32.6,32.880820928531634,0.14333708377937698
2000-06-30,36.5,35.14062277942501,0.1581532741179583
2000-07-01,48.8,42.425059406711085,0.29615477724532785
2000-07-02,65.3,62.47867425572137,0.3727021540229502
2000-07-03,75.3,75.29431620283069,0.3366986131260861
2000-07-04,90.5,89.29873932505139,0.5670073850153394
2000-07-05,73.9,77.42784413090497,0.7545942086957385
2000-07-06,57.6,61.441841787079944,0.5657348342715273
2000-07-07,58.4,57.493508567057965,0.525387563429804
2000-07-08,54.2,53.59805493284506,0.5025749083800071
2000-07-09,48.2,48.426613943320895,0.5593609480860918
2000-07-10,51.8,52.58963737379247,0.4229613704399775
2000-07-11,73.5,75.74498835329436,0.40171036379776914
2000-07-12,91.9,90.81675492179288,0.44380944891836716
2000-07-13,79.0,80.10868240165391,0.47758953476604366
2000-07-14,62.6,62.85876410000266,0.4404913541124833
2000-07-15,52.8,52.23199788712744,0.5568808776262144
2000-07-16,44.9,46.12836204625452,0.3977801813171184
2000-07-17,40.8,40.759679122247334,0.30971870800658785
2000-07-18,37.2,37.52345052691581,0.24409319470744642
2000-07-19,34.5,35.20453596020898,0.16155769992541916
2000-07-20,31.7,31.906977254987833,0.09741304728408695
2000-07-21,28.9,28.962115525130077,0.12193388419106042
2000-07-22,27.5,27.748848800002705,0.13370920940732128
2000-07-23,27.6,27.931288216985337,0.12834563317470205
2000-07-24,27.9,28.297427053971234,0.1147816492035732
2000-07-25,27.8,28.51351143109185,0.13872410258292275
2000-07-26,27.9,28.14218708343485,0.13580456875939995
2000-07-27,27.3,27.770973291969476,0.1618871375410351
2000-07-28,30.9,31.85128030165695,0.17898589029371315
2000-07-29,39.2,38.530896479708545,0.24870508770637118
2000-07-30,45.8,41.96565015654773,0.280472618609094
2000-07-31,50.0,43.87308071046583,0.41742139210349194
2000-08-01,50.2,49.90238959093471,0.3081699441582958
2000-08-02,50.4,47.06905679958671,0.5214532646365323
2000-08-03,45.4,49.775943706707785,0.5058515157957657
2000-08-04,45.8,47.66715370959081,0.8237023055642166
2000-08-05,37.6,38.68209114529,0.39385332419532865
2000-08-06,27.7,25.62433677368139,0.3322684909440452
2000-08-07,26.3,26.188211889190605,0.3664779745235585
2000-08-08,28.4,28.508966726536663,0.3334055688523713
2000-08-09,27.4,28.203248117274004,0.14987883882758227
2000-08-10,26.4,27.127000439255994,0.15941651573626373
2000-08-11,24.4,24.705482070623535,0.1443951463508988
2000-08-12,22.5,23.209763758243913,0.17661114367294192
2000-08-13,23.4,23.24112489627124,0.21730641708711831
2000-08-14,25.4,25.679044903209405,0.15802266599382284
2000-08-15,29.4,30.533026733596248,0.15379247557629516
2000-08-16,41.4,38.142631740851094,0.2021300713117294
2000-08-17,38.8,40.288912368600016,0.3812043157154342
2000-08-18,42.5,44.0002879573631,0.31624188034092393
2000-08-19,42.5,43.66076807950796,0.38689929709040793
2000-08-20,36.9,40.33547382990499,0.2201012614466408
2000-08-21,33.0,30.581540505132498,0.2388006303796111
2000-08-22,29.8,30.96366958511479,0.2971600681882353
